Text,ans1,ans2,ans3,ans4,ans5,Final
“เจ็บเท่าไรยินดีให้เขานั้นเดินไป อย่างที่ฉันกำลังที่จะทำ เจ็บช้ำด้วยความเต็มใจ” โฮรรรร เพลงเศร้าที่ตอนนั้นไม่เศร้า แต่ตอนนี้เศร้ามากกกก ,0,0,0,0,0,0
ขอย้ำอีกครั้งนึงว่าวินเล่นบทเศร้าได้สุดยอด,5,5,5,5,5,5
เวลาคนขาวแซะอาหารไทย โกรธมาก แต่พอเห็นภาพอาหารที่มันต้องกินกันทุกวันก็ใจเย็นลง เกินเป็นความสงสาร,3,3,3,3,3,3
เต้นโหดเหมือนโกรธเวควัน,5,5,5,5,5,5
เราต้องโกรธประวิตรมากกว่านี้อะ สภาไม่เข้า งานไม่ทำ ละมันต้องแก่มาแบบโซตัสขนาดไหนถึงขั้นเรียกคนอยากเจอเข้าไปหาที่บ้าน ใครที่ไหนเขาสั่งเพื่อนร่วมงานไปตามงานที่บ้านกันบ้าง,3,3,3,3,3,3
โกรธตัวเองเหมือนกัน ไม่เคยเข้มแข็ง ได้เหมือนปากตัวเองเลย,0,0,0,0,0,0
แล้วแบบนี้ใครจะโกรธเกี๊ยวลง แล้วแบบนี้ใครจะอดใจไม่หมั่นเขี้ยวเกี๊ยวไหว,2,2,2,2,2,2
โกรธตัวเองอ่ะ เกลียดตัวเองด้วยเอาจริง ชีวิตนี้เคยสนใจอะไรบ้างมั้ยวะกู,3,3,3,3,3,3
โกรธตลาดหุ้นวันนี้จังเลย ไม่ได้ออกซักไม้ แดงเก่งมากกก,3,3,3,3,3,3
มึง กุโกรธจริงไอเหี้ย,3,3,3,3,3,3
ไอ้ห่านราก..มันมองว่าคนไทยโง่หรอวะ,3,3,3,3,3,3
มาอยู่ต่างถิ่นทำเป็นนักเลง มาเตะกุนี่เมิงเจ็บหนักแน่ กลับปนะเทศแทบไม่ทัน,3,3,3,3,3,3
โหสงสารเขามากอะ,0,0,0,0,0,0
โห้ เสียค่าเครื่อง ค่าเดินทาง ค่าที่พัก แล้วไม่ได้เข้าไปดู เห็นใจอ่ะ ทำไมต้องเอาเปรียบกันขนาดนี้,0,0,0,0,0,0
คนโกงนี้มันยังไง เสียใจแทนเลยอ่ะ,0,0,0,0,0,0
ทำกันได้ นี่หรือสิ่งที่มนุษย์ทำกับมนุษย์ด้วยกันเอง เหี้ยจริงๆ,3,3,3,3,3,3
ศัตรูของศัตรูคือศัตรูไม่ไกลเกินจริงรายการนี้,3,3,3,3,3,3
ปิดครัว เปิดคณะตลกเถอะ,1,1,1,1,1,1
แล้วคุณยืนตรงเนี้ยเพื่อ save ตัวเอง ไม่คิดจะช่วยเพื่อนเลยหรอ,3,3,3,3,3,3
เชฟป้อมม ตรงใจหนูมากกก เผลอ ๆ ตรงใจกับคนทั้งประเทศ สะใจว้อย,1,1,1,1,1,1
เป็นกลุ่มที่อยากให้ออกไปก่อนใครเพื่อนเลย รำคาญความเห็นแก่ตัว,3,3,3,3,3,3
มิตรภาพทีมสีแดงยังแน่นแฟ้นเหมือนเดิม ...ใช่ไหมครับ,4,4,4,4,4,4
"""แอ้ม"" ดีใจมาก รู้อยู่แล้วว่า ""เฟน"" จะต้องกลับมาได้",1,1,1,1,1,1
ซุงบอกถ้ายังทำแบบนี้อยู่ก็จะออกมาพูดเรื่อยๆว่าทำอะไรไว้บ้าง แล้วก็มีอีกหลายเรื่องที่เพื่อนเขาโดนกระทำ,3,3,3,3,3,3
จำได้เลยตอนที่เก๋ไก๋ร้องไห้ เรื่องไม่อยากทำช่องต่อ นางเอารูปหมาลงigแล้วในแคปชั่น #โอ๋ๆไม่ร้องนะ เกลียดตั้งแต่ตอนนั้น,3,3,3,3,3,3
โอ้ยยย ต้องเหี้ยขนาดไหนถึงทำแบบนี้ได้ รู้เลยว่าจงใจ,3,3,3,3,3,3
ขอให้ทางข้างหน้า หนูพบเจอแต่ความสุขสมหวังตามที่ตั้งใจนะ,2,2,2,2,2,2
"คัมแบ็คแล้ว! สำหรับศิลปีนสุดฮอต ""JAONAAY""",5,5,5,5,5,5
ขอบคุณน้องยอร์ชมากนะลูก ที่ไม่ทิ้งความฝัน เหมือนหนูมามอบความสุขให้กับชีวิตมัมหมีอีกครั้ง,2,2,2,2,2,2
ก็ใจมันแคบ เลย #รัก ได้คนเดียว,2,2,2,2,2,2
มันต้องใช่แน่เลย.... วันนี้ตำรวจตกใจ นั่งรถมาแถววัดพระธรรมกายเป็นร้อย,5,5,5,5,5,5
เป็นใคร ก็ #ตกใจ,5,5,5,5,5,5
แด๊ดดี้จะมาโพสต์แบบนี้ ตอนกลางคืนแบบนี้มิได้นะ #ตกใจ,5,5,5,5,5,5
รูป Mona Lisa ใหม่ ที่คาดว่าจะถูกเอามาวางไว้แทนรูปเดิมใน Louvre ป้องกันผู้ประท้วงใน Paris #ตกใจ เข้าไปขโมยหรือ #เผาเลย ในช่วงสุดสัปดาห์นี้,5,5,5,5,5,5
พี่คณะลงรูปใส่แคปชัน Barcode = บ่าโขด = ไม่โกรธ ทำไมรู้สึกขำรูป55555555555555555555555555555,1,1,1,1,1,1
ตอนนั้นเซอไพร้สมากกกที่ป๋าโยไปดูคอนนสจ,,,5,,,
โคตรน่ากลัวเลย,,,4,,,
ปกติเป็นคนหลับๆตื่น หลับไมาลึกฝันอะไรไปตื่นมาก็จำไม่ได้และมปต่เมื่อคืนเหมือนจริงจนจบฝันแล้วตื่นพอดีมาลืมตาปึ้ง กลัวจนไท่กล้าหลับต่อ,,,4,,,
หลอนเสียงโทรศัพท์,,,4,,,
ขอพักแอคแปป กลัวเอ้มวีมาจะติดลิมิต,,,4,,,
อย่าให้พูดเลยค่ะ เพราะถ้าถามว่าอันนั่นเรียกเพลงแล้วกลัวว่าจะไม่ได้หมายถึงเพลงเตน แต่เป็น 😔😔😔,,,4,,,
เมื่อคืนฝันน่ากลัวมาก เป็นฝันที่แบบเหมือนเกิดจริง 🥹,,,4,,,
ขอบคุณฮั้บ ฝุ่นน่ากลัวเกิน 😭,,,4,,,
ผมยังทำใจไม่ได้เลย อาจารย์โทริยามะ ขอบคุณมากครับ,,,4,,,
มึงกุโกรธมาก นี่คือหน่วยงานที่คอยดูแลประชาชนจริงๆใช่ปะ กี่ครั้งแล้ว หลับ แดกเหล้า วาจา ละเลยในเวลางาน กุถามจริง!! อย่ามาบอกว่าตำรวจดีก็มี มึงเอาจริงปะปท.ไทย ตำรวจดีมีกี่คน? ดีออกอะดิ ,,,3,,,
#โหนกระแส ติดตามข่าวสารต้องแท็กนี้5555,,,1,,,
นัส บอกว่า ถ้าย้อนเวลากลับไปได้ อยากแก้ไขพฤติกรรมตัวเองในรายการโหนกระแสวันนั้น ที่ออกมาปกป้องอดีตสามีและทีม แต่ไม่ได้โทษใคร โทษตัวเองที่ควบคุมอารมณ์ได้ไม่ดีเลย ,,,0,,,
กรี๊ดดดดดดด น่ารักมากกกกกก,,,2,,,
น่ารัก วันนี้ได้อำอวยพรวันเกิดเยอะเลยซินะ ขับรถกลับดีๆเด้อ,,,2,,,
รักเหมือนเดิมนะกั้บบบ 🤍💙,,,2,,,
หล่อมากกกกก น่ารักมากกกกกกก,,,2,,,
ฟอสสีเก่งมาก กลับบ้านพักผ่อนน้า รักหนูนะค้าบบบ,,,2,,,
วันกดบัตรไม่เท่าไหร่ แต่กุกลัวผังกับราคามากกว่าตอนนี้ 5555555555,,,4,,,
จังหวะส่งข้อความไปหาคนที่ชอบ พอส่งเสร็จรีบปิดทรศ เปิดโหมดพระจันทร์ กลัวคำตอบเขา เขินว่ะ แค่คิดนะนิ,,,4,,,
ตอนหาเสียง : อมยิ้มแล้ว ตอนนี้ : กลัวนายจ้างอยู่ไม่ไหว จะเป็นผลร้ายกับแรงงานมากกว่า🙄 ,,,4,,,
ตลกดี เอาความยากลำบากของแรงงานมาเป็นคอนเท้นลงเน็ต แต่ในสภาปัดตกร่างที่แรงงานได้ประโยชน์ กลัวว่าแรงงานสุขสบายแล้วจะไม่มีใครให้โปรดสัตว์อะดิ,,,3,,,
รยูจินกลัวแมลงทุกชนิด แล้วดูแชรยองไล่แมลง 5555555555555555555555555555,,,1,,,
ฮาความกลัวหมึกของเก๋ไม่ไหว😂เพื่อนๆคือชอบใจกันสุด😆 #เก๋ไก๋ #เก๋ไก๋2024 #kaykai,,,1,,,
คนที่กลัวน้าผีแล้วน่ารักที่สุดในโลก 😭😭💔💔,,,1,,,
ใครจะขี้กลัวไปกว่าพี่ใหญ่ไลน์ 55555555555555 ละน้องแพรกับน้องโรร่าอยู่ด้วยกัน EP หน้า 🤣#BABYMONSTER,,,1,,,
ตกใจจริงนะสัส,,,5,,,
จริง ๆ ฉันก็ตกใจนะคะ ตกใจใน ความหล่อ ของคุณCEO มาก ๆ เลยค่ะ /หัวเราะ,,,1,,,
โอ้มายก้อดดดด น้องเล่อบอกว่าอันนี้ไม่ใช่ทีเซอเอมวี เปนทีเซอของดราม่า(ละคร)เล้กๆของโลกของพวกเรา ไม่เกี่ยวไรกับเอมวี,,,5,,,
คงจะเป้นอะไรเซอไพ้มากๆๆ ถ้าคอนเสปน้องเค้กกับน้องดรีมเชื่อมโยงกันงี้ แบบเป้นบ้านหลังหนึ่งที่มีเรื่องราวเกิดขึ้น โอ้ย ขนลุก แต่รุปพี่กิกับม้าคไวบ์คล้ายกันเลย แต่พี่กิถือแก้วมังกร ม้าคถือหัวใจที่มีตะปูแทง? โอ้ย ไม่รุ้ๆๆ รุ้แค่ว่าชอบมาก,,,5,,,
ม้าคมินหวานจนลืมความดาร์คของอีกครึ่งทีเซอไปเลย,,,2,,,
เซอไพรส์มากกก กรี้ดลั่นห้องเลยว่ส ต้าๆๆๆๆๆ #ร้องข้ามกำแพง #Tara #taratiwat,,,5,,,
แกเอ้ยพี่เค้าเร้กมาก แต่พอไปดูบทฮารินแล้วยิ่งว้าวที่เค้าเล่นเก่งขนาดนี้55555555555555,,,5,,,
ผมตอนอ่านเธรดนี้ อ้าปากค้างตาโตแบบนี้เลย ว้าวมากๆๆๆ เค้าวิเคราะห์ได้ยอดเยี่ยมเจ๋งแจ๋วที่สุด!!!,,,5,,,
เออร์วินเก่งอะ ว้าวมากตอนโดดขึ้นมา,,,5,,,
เอนดุน้องริคกี้มันว้าวกับคลิปพี่แทนเต้นซุปเปอร์เลดี้ น่ารักมากอะ,,,2,,,
คู่จิ้นคู่ใหม่ บนความว้าววของfc 🤣🥰❤️,,,2,,,
